"resp","response_token","timestamp","fu_json","p3q1","p3q2","p3q3","p3q3a","p3q4","p3q5","p3q6","p3q7","p3q8","p3q9","p3q10","p3q11","p3q12","p3q13","p3q14","p3q15","p3q16a","p3q16b","p3q16c","p3q16d","p3q16e","p3q16f","p3q16g","p3q16h","p3q16i","p3q16j","p3q16k","p3q16l","p3q16m","p3q16n","p3q16o","p3q16p","p3q17a","p3q17b","p3q17c","p3q17d","p3q17e","p3q17f","p3q17g","p3q17h","p3q17i","p3q17j","p3q17k","p3q18","p3q19","p3q20","p3q21","p3q22","p3q23","p3q24","p3q25","p3q26","p3q27","p3q28","p3q29","p3q30","p3q31a","p3q31b","p3q31c","p3q31d","p3q31e","p3q31f","p3q31g","p3q31h","p3q31i","p3q31j","p3q31k","p3q31l","p3q31m","p3q31n","p3q31o","p3q31p","p3q31q","p3q32a","p3q32b","p3q32c","p3q32d","p3q32e","p3q32f","p3q32g","p3q32h","p3q32i","p3q32j","p3q32k","p3q33","p3q34a","p3q34b","p3q34c","p3q34d","p3q34e","p3q34f","p3q34g","p3q34h","p3q34i","p3q34j","p3q34k","p3q34l","p3q34m","p3q34n","p3q34o"
"275","bf3e1492527bd3884960ca25596341fef9101e27f57c283c93d311aef372bd38","1431546206","psychedelics_trip_sitter=always&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=yes&psychedelics_reasonsd=yes&psychedelics_reasonse=no&psychedelics_reasonsf=no&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cgiven_friends%2Conline","NANS","NANS","NANS","NANS","twice","yes","18","1","NANS","given_friends,MIT_FSILG_parties","MIT_FSILG_parties","beer","twice","twice","no","others_parties","yes","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","gt100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing,liquid,other","bought_friends_MIT,bought_non_MIT,given_friends,online","18","1","yes","alone","no","yes","yes","vaporizer","online","NANS","yes","no","yes","yes","no","yes","no","yes","no","no","no","no","yes","yes","no","no","yes","never","never","never","never","never","never","never","never","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"276","0771689c713c1c5bca2bcea3ad6c9f1b534dae5ab3edc8dd7e987c423cf1c031","1431546229",,"NANS","NANS","NANS","NANS","3_10","no","20","3","NANS","parents","other","other","never","never","no","other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"277","cb6a61ec75dbe49cebaddf76ea74871800b83abd93631e3c36164338be0b07d7","1431546245",,"3_10","no","no","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,unregistered_parties,parents,lower_drinking_age","MIT_FSILG_parties","beer","3_10","10_100","no","others_parties","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","twice","never","twice","never","10_100","joint,blunt,bowl,bong,improvised,edible","given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","yes","joint","given_friends","NANS","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","once","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"278","afa7d25424ecbd1adaa8f2d19fd34ffdf039affb141807186c77bdf6dba3db63","1431546287",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"279","61ca76731e260c0f632fbaad50c3689b1b41567c5127de18ccf82aaef38aac2b","1431546305",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties,parents,lower_drinking_age","parents","liquor","once","3_10","no","at_lg_socializing","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","twice","never","never","never","never","never","never","never","never","never","twice","vaporizer","given_friends","20","2","yes","elsewhere_socializing","no","no","no","other","other","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"280","8509464c5c2c910a395c66af2cbdc62a6dcb319ead18e794477f2a5b425c80fa","1431546315",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"281","6119de13eef4cac8ea1d88422e16a38f43939783771035cba0c39b0e70287dcb","1431546329",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus","given_friends","malt","never","3_10","no","elsewhere_socializing","yes","no","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","never","twice","never","once","never","never","never","never","never","never","never","once","joint","bought_non_MIT","21","3","no","elsewhere_socializing","no","no","yes","joint","given_friends","NANS","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"282","6418fe31626a9faf5bbded90e2ec932f7c7ac76a6f9a343d6b5c3466f2091409","1431546338","whippits_amount=3_5","10_100","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,parents,lower_drinking_age","given_friends","beer","10_100","10_100","no","others_parties","yes","no","yes","yes","no","yes","no","yes","yes","no","no","no","yes","yes","yes","yes","never","ge3","never","never","never","never","never","never","never","ge3","never","3_10","joint,bowl,bong,vaporizer,edible,dabbing","given_friends","NANS","NANS","NANS","others_parties","no","yes","yes","bowl","given_friends","NANS","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"283","7d2ff107ebe304611929725a3593963b028312a51477a2b4a8c073e720dd4fc7","1431546351",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","NANS","NANS","beer","3_10","twice","no","others_parties","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"284","724cadff75399715c70c32ac89a310d5fffe3fd8372f98bf68512a68336a2173","1431546359",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","given_friends,unregistered_parties","given_friends","beer","twice","never","no","at_lg_socializing","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"285","ca08413f9db0d420228753a475a5adf5f5463337644a9e5b476127b9dffba250","1431546369",,"twice","no","yes","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,lower_drinking_age","given_friends","wine","twice","3_10","no","elsewhere_socializing","yes","no","yes","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","never","once","never","once","joint","given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","NANS","NANS","NANS","NANS","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"286","6395228370743a1fc2c049ad0d854b25deeb99019c85e37e732856a48ec43cc5","1431546377",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties","given_friends","liquor","never","3_10","no","at_lg_socializing","yes","no","yes","yes","no","yes","yes","no","yes","no","no","no","yes","no","yes","no","never","never","never","never","never","never","never","never","never","never","never","3_10","bong","given_friends","19","2","yes","elsewhere_socializing","no","no","yes","bong","given_friends","NANS","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"287","9c111229da307485cd08b3ec68f44ab3735086423af1d94262ff22262d4141b8","1431546422",,"NANS","NANS","NANS","NANS","3_10","yes","20","3","NANS","given_friends,other","given_friends","liquor","never","twice","no","elsewhere_socializing","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"288","1b6a82edeeebc265b8474c18ce68833e1bd0bc3ab72d6894a41c8db0f6d59dda","1431546437",,"NANS","NANS","NANS","NANS","3_10","yes","17","1","NANS","given_friends,MIT_FSILG_parties,unregistered_parties,official_parties","given_friends","liquor","never","never","no","at_lg_socializing","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","once","never","never","never","never","never","never","never","never","never","twice","bong,edible","MIT_FSILG_parties,given_friends","18","1","yes","at_lg_socializing","no","no","no","bong","given_friends","NANS","yes","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","once","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"289","b7e05ef4fcf98944dc7c80a21af9745e2d8d05458ad1bbdd9b9c784f72cd0f37","1431546460",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,MIT_FSILG_parties","MIT_FSILG_parties","beer","10_100","10_100","no","my_parties","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","once","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"290","b6536ee60d52d477a3ea4b2b7e9d14f77f02ad456c21832411651ddb7ee7edd4","1431546462",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","given_friends,unregistered_parties,official_parties","unregistered_parties","liquor","twice","once","no","at_lg_socializing","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"291","06c6b55ea60d08760e3ade943ee38c8de7aefb909729cc5d3de448e7430ac45a","1431546470",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","NANS","NANS","liquor","never","never","no","others_parties","yes","no","unsure","yes","yes","yes","yes","no","no","no","no","no","no","yes","no","no","once","once","never","never","never","never","never","never","never","once","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"292","9d9cb00f7bf320aa3ddbe5837fa4918193be6c3e75fae0612d728a75fc122043","1431546483",,"10_100","no","no","NANS","10_100","NANS","NANS","NANS","NANS","NANS","NANS","beer","twice","3_10","no","elsewhere_socializing","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"293","a52c63ceca78b4dd34e2b43ae6f8e5b9533052142d4908c84d7d117c9223194e","1431546499",,"NANS","NANS","NANS","NANS","10_100","no","21","4","NANS","NANS","NANS","wine","never","never","no","elsewhere_socializing","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"294","15f3aacdb23c592b10f82e15e74eff9a3699d8f46ca1564a7da73eb9807071dc","1431546508",,"NANS","NANS","NANS","NANS","10_100","yes","18","1","NANS","bought_friends,given_friends,MIT_FSILG_parties","bought_friends","beer","twice","3_10","no","at_lg_socializing","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","never","never","never","once","bong","given_friends","20","2","yes","at_lg_socializing","no","no","no","bong","given_friends","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"295","c1a903e7f24efee4dc5219c9989dad9a6b3696cc8ecaa8f41354486eba99a249","1431546530","whippits_amount=10_20&psychedelics_trip_sitter=always&psychedelics_bad_trip=twice&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=yes&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=yes&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cgiven_friends&lsd_obtained=bought_friends_MIT&lsd_dose=50_150&lsd_alternatives_compounds=2cb%2C2ci&lsd_alternatives_reasons=availability","10_100","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,off_campus,unregistered_parties,official_parties,student_group_events,no_id,fake_id","bought_friends","liquor","10_100","10_100","no","at_lg_socializing","yes","no","unsure","unsure","no","yes","no","no","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","twice","ge3","never","10_100","joint,bowl,bong,vaporizer,edible","bought_friends_MIT,bought_non_friends_MIT,MIT_FSILG_parties,given_friends","19","1","yes","at_lg_socializing","no","no","NANS","NANS","NANS","NANS","yes","no","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","ge3","never","ge3","never","never","never","never","never","never","never","never","never","never","twice","never","never"
"296","e475470b8da02aee73356d0c3aad4439bdc581a20f149c52b7b5c8333768a79b","1431546535",,"NANS","NANS","NANS","NANS","twice","NANS","NANS","NANS","NANS","NANS","NANS","malt","never","never","no","bars","yes","no","no","yes","no","yes","yes","yes","no","yes","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"297","9c2d69f2ab3e482a91968214cab134892193298b1cf29fcd1f590bad00b2c6a8","1431546602",,"NANS","NANS","NANS","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,student_group_events,parents,lower_drinking_age","bought_friends","liquor","10_100","10_100","no","my_parties","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","twice","ge3","twice","never","once","never","never","never","never","ge3","once","3_10","joint,blunt,bowl,bong,vaporizer","given_friends","NANS","NANS","NANS","my_parties","no","no","yes","bong","given_friends","NANS","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"298","022c5143af5f8d440273820b0e092c29cd46e7105e2ff3b5c4e4b91c42498a0d","1431546549",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,non_MIT_FSILG_party","no_id","liquor","10_100","10_100","no","others_parties","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","never","never","NANS","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"299","553f4bf1f170e8709316473fe0e1aaf6926a4ba4798fa644e1c69c02c8ad625e","1431546551",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,parents","given_friends","wine","3_10","3_10","no","at_lg_socializing","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","never","ge3","never","never","never","never","never","never","never","twice","never","3_10","joint,bowl,improvised","given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","no","joint","other","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"300","9dabc247969e51ca39e761e7a3d6ae7661abab265c49a40c8d8102053fd24103","1431546565",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,parents,made_yourself","bought_friends","liquor","NANS","10_100","no","my_parties","no","no","yes","yes","no","yes","yes","no","yes","no","no","no","yes","yes","yes","no","never","twice","never","never","never","never","never","never","never","never","never","once","joint","given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","yes","joint","given_friends","NANS","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"301","88ddb7d08144b73fd5054689be2ceb043547edc296022f157c14a125642567a2","1431546613","caffeine_with_alcohol=yes&whippits_amount=5_10&psychedelics_trip_sitter=rarely&psychedelics_bad_trip=once&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=online&lsd_obtained=given_friends%2Conline&lsd_dose=50_150&lsd_alternatives_compounds=2cb%2C2ci&lsd_alternatives_reasons=availability%2Cprimary_effects%2Ccompare","gt100","yes","yes","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,unregistered_parties,official_parties,parents","bought_friends","beer","10_100","10_100","no","at_lg_socializing","yes","no","yes","yes","no","yes","no","unsure","no","no","yes","no","yes","yes","no","no","never","ge3","once","never","never","never","never","never","never","once","never","10_100","joint,bowl,bong,vaporizer,dabbing","bought_non_MIT,given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","yes","bong","given_friends","NANS","yes","no","yes","yes","yes","yes","no","unsure","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","ge3","never","never","once","never","once","never","never","never","never","never","never","never","never","never","once","never","never","never"
"302","f92ec13f6b5196bb846f80962f12d127536ba21c4011468b60ccbd7381e7e8ab","1431546638","whippits_amount=le1","NANS","NANS","NANS","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties","MIT_FSILG_parties","beer","3_10","10_100","no","others_parties","yes","no","no","yes","no","yes","yes","yes","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","once","never","once","never","3_10","joint,bowl,bong,improvised","given_friends","18","1","yes","others_parties","no","no","NANS","NANS","NANS","NANS","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"303","d051596366e1cb9b29e725023eef58093753177dada7130a37e9a2bfb04a6a70","1431546676","caffeine_with_alcohol=no&psychedelics_trip_sitter=always&psychedelics_bad_trip=once&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=yes&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT&lsd_obtained=bought_friends_MIT&lsd_dose=50_150","10_100","yes","yes","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,parents,no_id,other_id,lower_drinking_age","lower_drinking_age","wine","10_100","3_10","no","at_lg_socializing","yes","no","yes","yes","unsure","yes","yes","yes","no","no","no","no","no","yes","no","no","once","ge3","never","never","never","never","never","ge3","never","ge3","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing","bought_friends_MIT,bought_non_MIT,given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","yes","vaporizer","given_friends","NANS","yes","no","yes","yes","yes","yes","yes","yes","no","no","no","yes","no","no","no","no","unsure","once","once","never","never","never","never","never","once","never","never","never","never","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never"
