"resp","response_token","timestamp","p2q1","p2q2","p2q3","p2q4","p2q5","p2q6","p2q7a","p2q7b","p2q7c","p2q7d","p2q7e","p2q7f","p2q7g","p2q8a","p2q8b","p2q8c","p2q8d","p2q8e","p2q8f","p2q8g","p2q9","p2q10","p2q11","p2q12","p2q13","p2q14a","p2q14b","p2q14c","p2q15a","p2q16","p2q16a","p2q16b","p2q16c","p2q16d","p2q16e","p2q17","p2q17a","p2q17b","p2q17c","p2q17d","p2q17e","p2q18a","p2q18b","p2q19a","p2q19b","p2q19c","p2q19d","p2q19e","p2q19f","p2q20","p2q20a","p2q20b","p2q20c","p2q20d","p2q20e","p2q20f","p2q20g","p2q21","p2q21a","p2q21b","p2q21c","p2q21d","p2q21e","p2q21f","p2q22","p2q22a","p2q22b","p2q22c","p2q22d","p2q22e","p2q22f","p2q23","p2q23a","p2q23b","p2q23c","p2q23d","p2q23e","p2q24a","p2q24b","p2q25a","p2q25b","p2q25c","p2q25d","p2q26"
"11","7405beabe4dbeb1c3af4e9d92ab17b87b175937c0efa6109eb6cf02b0c18a375","1431539816","no","no","adequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"12","97541c1d2b2430165bbe0103907903fcb9eb7b48cb20d66b9b1330b9cd1f850f","1431539829","yes_def","yes_def","unsure","v_unconf","neither","never","neutral","neutral","neutral","neutral","neutral","neutral","neutral","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","twice","none","main_effects,short_term_se,phys_add,cost,avail,other_users","never","3_10","never","never","yes","3_10","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","3_10","never","never","never","never","never","never","never","never","never","never","no"
"13","21c882976918e2d85dbc0fe94fad2989b4a83ca302857dbe3140bc97090c7e3a","1431539846","unsure","unsure","adequate","neither","neither","ge3","neg","sli_neg","neg","neg","neg","sli_neg","sli_neg","neutral","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","unsure","no","twice","forums","phys_add","never","never","never","once","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","once","twice","once","3_10","twice","3_10","twice","once","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","once","once","once","once","once","twice","unsure"
"14","dffb312a16e505cc7e04de78d763883c649979de109f117a7a9b8a39992a2856","1431539933","yes_def","unsure","unsure","unconf","unconf","never","neutral","neg","neutral","neg","sli_neg","neutral","neg","neg","very_neg","neg","very_neg","sli_neg","neg","very_neg","no","no","twice","other_undergrads","short_term_se,long_term_se,phys_add,psy_add,avail,other_users,others_perc","never","never","never","never","yes","3_10","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","NANS","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","3_10","never","never","no"
"15","df6505fbb91d6281b981c1c7f850bc8238c51d5433ecf1e3621d41afff9119cc","1431539939","no","no","adequate","conf","conf","never","very_neg","very_neg","neg","very_neg","neg","sli_neg","very_neg","neutral","neutral","neutral","neutral","neutral","neutral","neutral","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"16","05f768d1a5f5bd1b7c0b33f4686d9798aa00726a9931459578bb2f14d5cfb520","1431539944","yes_def","yes_def","adequate","unconf","unconf","once","neutral","sli_neg","neutral","neutral","sli_neg","neutral","sli_neg","sli_neg","neg","neutral","sli_neg","sli_neg","neutral","neg","yes_def","no","once","online_like_erowid,gen_sources,other_undergrads","main_effects,long_term_se,avail,other_users","once","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","once","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"17","368675bdd56b5c19f4c020589ad227fef4aebca3d83832db6e91f40678c13623","1431540002","yes_def","unsure","unsure","neither","not_sure","never","neutral","sli_neg","sli_neg","sli_neg","neg","neutral","sli_neg","neutral","neutral","neutral","neutral","neutral","neutral","neutral","no","no","never","never_cons,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,psy_add,ld50,cost,other_users","twice","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"18","3d325b6992516aca5d727245549cd9fd62031c944e0b4a3bbceedc8e489c45c9","1431540007","no","no","adequate","unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","neg","very_neg","neutral","very_neg","unsure","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"19","8668323501d81e4cf673c3699b5ee87730d20cde9ef999586ae99a09b90eb47a","1431540004","think_so","unsure","inadequate","v_unconf","v_unconf","never","neg","neg","neg","neg","neg","neutral","sli_neg","sli_neg","neg","sli_neg","sli_neg","sli_neg","slightly_pos","sli_neg","no","no","never","never_cons","never_cons,main_effects,short_term_se,long_term_se,phys_add,psy_add,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"20","dd79a956114eaaa8e35f4041636b7c0297b5dff76dea3d6f8994df2fb5401648","1431540073","yes_def","no","adequate","unconf","v_unconf","never","neg","very_neg","sli_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","sli_neg","neutral","sli_neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"21","07766ff6f94cc55a1fd972e7c670a3aa043155cc53b1d3eb1adfb5ea42a1703f","1431540124","yes_def","unsure","unsure","v_unconf","unconf","never","neg","very_neg","neg","very_neg","very_neg","neutral","sli_neg","neg","very_neg","neg","neg","neg","neutral","sli_neg","unsure","no","never","gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"22","608f15e6cf876bf93d7ee94f222b7d449e9c54d5835de6e81c3db91e3ce1c9c2","1431540124","no","no","adequate","unconf","unconf","never","neg","very_neg","neg","very_neg","very_neg","neg","very_neg","sli_neg","neg","sli_neg","neg","neg","sli_neg","neg","no","no","once","gen_sources","short_term_se,long_term_se,phys_add,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"23","05ee01cf8eaf4b21b3ac308648996ef383376efd90855f896de2964347728eff","1431540122","think_so","think_so","adequate","v_unconf","v_unconf","never","very_neg","very_neg","neg","neg","neg","very_neg","very_neg","neg","neg","sli_neg","neutral","sli_neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"24","c759597b339831f55a954a081fe3bcc9a8f4e450e1380db3cebbf0a29d7e9045","1431540187","yes_def","think_so","inadequate","unconf","unconf","never","neg","very_neg","neg","neg","neg","neutral","neg","neg","neg","neg","neg","neg","neutral","neg","unsure","no","twice","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"25","5e32a50b077fecaa50af0ca0cbd53fb360c056200325225c7be0c29e97f222d4","1431540282","think_so","no","adequate","unconf","unconf","never","very_neg","very_neg","neg","very_neg","very_neg","very_neg","very_neg","neg","neg","neg","neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"26","91ff52deafb7c36df442f5b616a985c749240917e6726bfdd244ee51679cfa73","1431540384","yes_def","no","inadequate","v_unconf","v_unconf","never","neg","very_neg","sli_neg","neg","neg","neg","neg","neg","very_neg","sli_neg","sli_neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","NANS","never","never","no"
"27","cf75e42e5093403a40590e25ecb01df1bf7f71ebf3b23b3cfb9bc62dd08598e0","1431540408","yes_def","yes_def","adequate","unconf","unconf","never","very_neg","very_neg","neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","neg","very_neg","very_neg","neg","very_neg","think_so","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"28","95735fb3d718afd10e8be1423849a444df3a38ab2c3c7d43b5c42840c0c7423c","1431540418","yes_def","think_so","inadequate","neither","neither","never","neg","very_neg","neg","neg","neg","neg","very_neg","neg","very_neg","neg","very_neg","neg","sli_neg","neg","no","no","twice","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"29","a261f21cf27bc66ebbeb36233572d9d1de0c3022f88cb398713cc63026bb7e33","1431540542","yes_def","think_so","inadequate","conf","v_unconf","never","neutral","neg","neutral","neutral","neg","slightly_pos","neg","sli_neg","very_neg","slightly_pos","sli_neg","very_neg","neutral","very_neg","no","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,cost,avail,other_users,others_perc","3_10","never","never","never","yes","10_100","never","never","never","never","yes","once","once","twice","never","never","never","never","once","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","3_10","never","never","never","never","twice","once","never","never","never","never","no"
"30","77759f5dc3e0e2b98b8373bbb4e6fa7296c022c923b3a9d4afe3a276be26ab2c","1431540586","no","no","severely_inadequate","v_unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"31","44ccc2bf3395e975f201f384312c014038f119903b88c444da53cfc6195a92f0","1431540621","unsure","unsure","comprehensive","neither","neither","never","neg","very_neg","sli_neg","very_neg","very_neg","slightly_pos","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neutral","neutral","no","no","never","forums,other_undergrads","short_term_se,long_term_se,phys_add,psy_add,avail,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"32","c1c22be89e5e2db698c06bd6fe8e673593eb100e1cac949ee21d86faa2dd7fbe","1431540647","think_so","unsure","inadequate","unconf","v_unconf","never","neg","very_neg","neg","neg","sli_neg","neg","very_neg","sli_neg","very_neg","neutral","neutral","sli_neg","sli_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"33","900d1e20148ddf54ee4334116f304e9fea9e1f5f157cb11dd380f927c9432636","1431540675","no","no","adequate","v_unconf","unconf","never","neg","neg","sli_neg","sli_neg","neutral","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"34","a153efde2c15cad664b0e770c8f3f5088131718a5eeb419f0b4abbb6219d5be9","1431540719","yes_def","no","adequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","slightly_pos","sli_neg","very_neg","slightly_pos","very_neg","no","no","never","forums,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"35","2a9c302278df92820253041ef6ab42e2547ce2bfa10e06ea42ac237a765843f5","1431540744","yes_def","unsure","inadequate","not_sure","not_sure","never","sli_neg","neg","sli_neg","very_neg","neg","neutral","sli_neg","neutral","neutral","neutral","neutral","neutral","neutral","neutral","no","no","never","gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,cost","once","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"36","e3a1f59ed15c55a852c5f3c43fc6836082437aab1916ab94318b14851357ca54","1431540866","unsure","no","adequate","unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","no","no","never","forums,online_like_erowid,gen_sources,other","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
