"resp","response_token","timestamp","pdq1","pdq2","pdq3","pdq4","pdq5","pdq6","pdq7","pdq8"
"84","6df90ac739a5c6f3d12d1eb9c8375da6d16abfd12af29a9776d83b9e135ce975","1431541318","2016","3","female","sorority","sorority","yes","20","yes"
"85","1ca7d2355641fc5cb933c540a524239779d3bd58366a5467bae62d3e6888918d","1431541357","2015","4","male","simmons","no","yes","21","yes"
"86","b510f960a1df2475f4475990d2717c15f0cf1e865f9e5ea655f5d601e744e0aa","1431541379","2015","4","other","east_campus","no","yes","22","yes"
"87","0cf5078c6c65bd7996291986321a97593939e591c601e00296eb4ccee162a1cd","1431541482","2016","3","female","off_campus","no","yes","20","no"
"88","2a4c362b1cafe98bf2b9c238c3cb750edd9cd15951f3f52d7bcd3dd69f908829","1431541496","2017","2","female","fraternity","frat","yes","19","yes"
"89","539060172d69ed4114548adeb6582671045904bc951903b7da283d53bf0fd3e2","1431541528","2015","4","male","fraternity","frat","yes","22","yes"
"90","011c6dfb9fa16c5131d0f4009caa2b8ed9f36eb763c58290253acc8371f760c2","1431541540","2016","3","male","off_campus","sorority","yes","20","yes"
"91","4780d9f6ffcaf04b1eb84077aee20aafab265c252854d5f78eef747aabf6ea33","1431541576","2015","4","female","ilg","no","yes","21","yes"
"92","2b30b3172ddeb58ea9b65a29cb827c1be904f082c9bfc8aaaeee34f298098d8f","1431541596","2016","3","male","maseeh","frat","yes","20","yes"
"93","36920578523a89b94cf85a9fad800366212955b0f7a59b4033e7ebbc0dbe8e30","1431541596","2018","le1","female","maseeh","no","yes","19","yes"
"94","1dce0d5b080509e2eb794677963d9e0eb1c4a82d8c302e16abe9468991d17afe","1431541599","2015","4","female","east_campus","no","yes","22","yes"
"95","523e721f5b2df1c4398559597eb105aa5a72252dadba4c19500b15368077c410","1431541616","2017","2","male","fraternity","frat","yes","20","yes"
"96","88c6e3393882361789ddb1f1b1a271c0a9ffa72cdb6d99bc09bc5c132adcd2ee","1431541606","2017","2","male","fraternity","frat","yes","20","yes"
"97","800b5086d79150792aae035e9ad3817fefc1be4f2382644cf19d2578a38f7fec","1431541667","2016","3","female","baker","sorority","yes","21","yes"
"98","6a554eb91106689f78ea60960ac0e77046803bf28cb9efabdaef2a38aa9007d8","1431541677","2017","2","male","baker","no","yes","19","yes"
"99","dd28db3559d07ea9062e105e3a26c9abc0e410b0ac67f232488e7b6cc476af34","1431541717","2015","4","male","mccormick","frat","yes","22","yes"
"100","86106275712ab341e7937aca541a18ac953a99dbd1ce5d774e3371bd9d479cf7","1431541742","2018","le1","male","macgregor","no","yes","19","yes"
"101","7c4dc2907188e5f3acbab95c6537cc000686bef2e6217664d502a985701dd93b","1431541759","2018","le1","female","simmons","no","yes","19","yes"
"102","f428acad133bf547a476a9cd4830fadb9ca777ee0ac08dee36028e73ccacfd28","1431541760","2016","3","male","fraternity","frat","yes","21","yes"
"103","73a0d787583fbec3ac75e7931289bdd0107170b6b7894cc02e63558066d0572f","1431541784","2017","2","female","mccormick","no","yes","19","yes"
"104","da4db65ad9afb0137fec3a8504e2ea48b06d4e679c11a7be8b44a3309bc3c8a7","1431541791","2015","4","female","maseeh","no","yes","22","yes"
"105","f4e6ac9f3372be2530baf19ba3944aae1756e604710f66f959a011e4c8a0ab14","1431541839","2018","le1","male","simmons","no","yes","18","yes"
"106","bc744fe7b0516cafabd98edf5f160d9974eb5a5468376a2b3bc24b63a176d798","1431541883","2017","2","male","fraternity","frat","yes","19","yes"
"107","c289f86bd8b60640e76263d0e501141cb642e8d59ca29231b1261639ea12e86c","1431541899","2018","le1","male","bc","no","yes","19","yes"
"108","e9a2459139529f91260caed6cb176eb3f9eb310c13eae2cd8e519d0cda2bde22","1431541902","2016","3","female","ilg","no","yes","20","yes"
"109","c331194acf9efba58b39a4225357c4244a3b06f100f10138bca801546cbf4b8b","1431541902","2016","le1","female","off_campus","no","yes","20","yes"
"110","e67c489772524a49fb848e5349eb7a7370f07a8c170311bab679f27cc9277dec","1431541912","2015","4","female","baker","no","yes","22","yes"
"111","9db141ac71317a4ce6ed836700de1149acf2ca6b1d7f15190de213942aba7ffc","1431542047","2017","2","female","east_campus","no","yes","20","yes"
"112","99a26cac6ef6c70059a7a719acf8e08a161c57e8ef73b075e24572515dc128fd","1431542090","2016","3","female","simmons","no","yes","21","yes"
"113","4defa8e3fff63166d3d6e3c24997908f2ed979789fa57a77cb241e466dfb3aab","1431542081","2017","2","female","other","sorority","yes","19","no"
"114","85699b9357dcb48dec81008125d126b1967cc3fd8dd09e4432f336fe72a92233","1431542089","2016","3","female","simmons","no","yes","21","yes"
"115","ed5d52970cb7317fe2dc194ed2b95d744e03e51382b15070a085c68247a5f033","1431542129","2015","4","female","next_house","no","yes","22","yes"
"116","4178954b73e31c5243bb73d77ebac7c0ebef937aa2db8168cd5ad9928c56dd1b","1431542140","2018","le1","male","simmons","frat","no","18","yes"
"117","637e56eb56a7084c8e414231eafcf700bdbbd795637d290bd5b108b46223555b","1431542137","2018","le1","female","senior_house","no","yes","19","yes"
"118","ef31d1cfe3b0a2392526a41d72abf4d2387baddb3271ac3ca1db2e3756a82787","1431542171","2017","2","female","mccormick","no","yes","20","yes"
"119","715bdcd18f96736b2e3730c82791925a8b5fce5df84f434284c4f16267da56ac","1431542192","2018","le1","male","simmons","frat","yes","19","yes"
"120","c762f0b50dd3b2df447e32bde0c506505f98c0d8971c3a132eec06831196dabc","1431542189","2018","le1","female","new_house","no","yes","18","yes"
"121","933debfda0fa89ec70ebe7ba7de53d9e08b461d82780ccb3e3d6f281b76e3251","1431542293","2017","2","female","maseeh","sorority","yes","20","yes"
"122","0b7d7754fb94fe6d7f8ecb087c326532fcfd767a4cf20a10bc58e2704e40154d","1431542272","2018","le1","female","mccormick","no","yes","19","yes"
"123","c0720af28e1dbc85a7a21ad3778e4fca3b3bcd63e7903945274560059109ab08","1431542287","2016","3","female","new_house","no","no","22","yes"
"124","fbdbca20d45e3b2b7b5ced2627dc3d932cacd324910a33a6cececb40567190c0","1431542297","2017","2","female","senior_house","sorority","yes","19","yes"
"125","d85abb849cc1d0eb3ff2220295182324fba5fb834867156ec8b8b0682601d5dd","1431542321","2015","4","female","baker","sorority","yes","22","yes"
"126","0aa91611626d40b40fa8754eca2b9984036acb8f9bddc2396862d916c8c34ac7","1431542339","2018","le1","male","east_campus","no","yes","19","yes"
"127","c3e428cf3a8229387f091d5ceccb2ef8d827a8f5ccff2e351a1d52bb4c9552b9","1431542350","2017","2","female","east_campus","no","yes","18","yes"
"128","7c42d9b7931ba230eeb06d370f1c488613b123ed63fcda52296939659a655291","1431542378","NANS","NANS","NANS","NANS","NANS","NANS","NANS","yes"
"129","7a11c2a43f99b6f2dba600cce25fa43f98f145456a755b8b9f4fddfdac76d6cb","1431542391","2015","4","male","fraternity","frat","yes","22","yes"
"130","c36c7777819aee52c72c0209c8c84583c0b1984d039cb01a0d389086559544be","1431542404","2016","4","male","maseeh","no","yes","21","yes"
"131","964a4d10daab80b3a222b244a2b9db430b81f0fa29a618b6a400d8ccd1deec35","1431542432","2016","3","female","east_campus","sorority","yes","21","yes"
"132","f286f59bf56c6011f52bee175112133c12f14cdb67c607bc9a4db2461c5e6e87","1431542488","2017","2","female","macgregor","no","yes","19","yes"
"133","98c60caed307df27c6a8c48a611ac4ab6068f891f87ff9d19bc0118970e1e35f","1431542488","2017","2","male","fraternity","frat","yes","20","yes"
"134","018fed66ec40886c7ddf38a1de9afbb3ee703361d0df45a229b262866f211f59","1431542459","2016","3","female","next_house","no","yes","21","yes"
"135","bd35a14f15b6b0cc427cadaa18daef346b145d7f4e95bc6b927c6168216baab4","1431542497","2016","3","male","fraternity","frat","yes","20","yes"
"136","54c532af2a50e7e95eb74ccb8992725a85d0a56f1ce6714363007d470c653e87","1431542499","2016","3","female","bc","sorority","yes","20","yes"
"137","cb946049371067ed5675d7fcde67800fbe5a8fdcbca8a7f71dd7c2c337c267bb","1431542506","2015","4","female","simmons","no","yes","21","yes"
"138","7b57b822a97de27b678e561dfc04304ee83624c804e7b2252b32c46000553164","1431542525","2015","4","male","fraternity","frat","no","23","yes"
"139","2fabb985b8a418110c331259393b3f37b27f0cae586805b97074be6a7ec38e28","1431542519","2018","le1","male","macgregor","frat","yes","19","yes"
"140","d04953a6f0c2834172c53218340681ee14101dc7aa494406eaee6b2cf5851c1f","1431542519","2016","3","female","bc","no","yes","19","yes"
"141","c26321937f9cb93036b45f3cc359ee1c79af0d77780da373495210ecd7409016","1431542592","2017","2","female","bc","sorority","yes","20","yes"
"142","4879190a2392988db44a3c15486e2805dde6df5ce6a292201f1e020bf1c99c98","1431542592","2017","2","male","fraternity","frat","yes","20","yes"
"143","35723e6b65891bcf973fe93f835d1fca558e857e5f018a38067595b658c5759c","1431542603","2016","3","female","next_house","no","no","20","yes"
"144","6cef567e24b0ba06a4edabf43ffd9c5caaa58001a54a6482aba3fb15ccdfb363","1431542600","2018","le1","female","macgregor","no","yes","18","yes"
"145","0675e972512b892a1c719910d4bbb44361e00c7427d5adb62bd04c9aa83cd40a","1431542563","2015","4","male","bc","no","yes","21","yes"
"146","451f2676cfedd66a95dfa00d3c378ec66f8f43c6ea3be41c61a2e3e8c8e42ca7","1431542613","2017","2","male","fraternity","frat","yes","20","yes"
"147","daebe9083402f78a235ccf99c2506deb2a33d1728a6b6c9445745d0dcf44dfdd","1431542648","2017","2","female","bc","sorority","yes","20","yes"
"148","0aecadde382c8856aa433683dc5b7bfc01c867157e5ce07d977534f70f6d5bd0","1431542660","2017","2","female","NANS","sorority","yes","20","yes"
"149","b3b05653d7dc22237f2929a14806b97c9fe0a55f23bb97c9639c3ec12ced522c","1431542674","2018","le1","female","simmons","sorority","yes","18","yes"
"150","00a579d00869e568d6893425134180f349c5f8c36732bc62106e611adcd1c577","1431542728","2017","2","male","bc","no","yes","20","yes"
"151","660d9d038bb141d9ae8c926fa0394d60e955733e005edc4592ab26fdc9751e9a","1431542739","2015","4","male","baker","no","yes","22","yes"
"152","dd4f68f181f61f2f2aee23816bdfe6c1249514de70a82467d72756cacc4d7565","1431542772","2017","2","female","senior_house","no","yes","20","yes"
"153","7c05624d8feca9dc6f799167019fee78cd55d98f0239e03351d3dbaf66224cf0","1431542785","2015","4","female","baker","no","yes","22","yes"
"154","808e85e90c40cffa20e2f6799f923d2f2e1443792451bc3904fe3bed6f2672b9","1431543698","2018","le1","female","next_house","no","yes","18","yes"
"155","6983fd188e63b9621c42a75641589cddaa486b2d4c3a51ae99fbcb08f2be6172","1431542799","2018","le1","female","simmons","no","yes","18","yes"
"156","ffbf14e159a843a988424a2e2aeeb4ef1c459d65fa61d66e1b227aafe4f349ba","1431542827","2018","le1","female","simmons","sorority","yes","19","yes"
"157","3881113084e6f3b9c579128dde779bdb16dbe2e7c5ad595e1ba7513111a6befd","1431542833","2017","2","female","east_campus","no","yes","18","yes"
"158","6677fc90645b77cbd027c7604ee9b03cd6b3cf104b099f669dda342bf9becfe9","1431542862","2016","3","female","east_campus","no","yes","21","yes"
"159","f7cd06c6409e56b0532cc7cc544899a88d765ae74a4905661d5e14f78774fd7d","1431542881","2018","le1","female","next_house","no","yes","19","yes"
"160","5984189a5c028d2992af758c049e5bab6b5ccaa17474b1cc1f17684789d3eea1","1431542873","2016","3","male","fraternity","frat","yes","21","yes"
"161","2c44cec7fdaaa533dee0cb57c4b945ba0944684d3e2177301aae72b8262db25a","1431542887","2015","4","female","off_campus","sorority","yes","21","yes"
"162","85f8144c57ef131ffde7a9997aa4f9622d81a6e3b842de7ed2c73a37c322cd8e","1431542899","2015","4","female","baker","no","yes","21","yes"
"163","b8036a8a9b5c1316a5596fc066bf6ed4bf7ac22acdebe12c46e166afdbf4675c","1431542905","2018","le1","male","east_campus","no","yes","19","yes"
"164","1ada003ffbe47ff42209822a0d403c7cc4c1bec83fba6b16f0ec47649938a80f","1431542911","2018","le1","female","maseeh","sorority","yes","19","yes"
"165","7afbce8f8f00721e4676a7ad202fdd71880c9f23d9bb8a8ced3bcfde1dc548da","1431542981","2015","4","male","macgregor","no","yes","23","yes"
"166","7d2ff107ebe304611929725a3593963b028312a51477a2b4a8c073e720dd4fc7","1431542921","2015","4","male","next_house","no","yes","22","yes"
"167","422518315d4af00ef1bcb9feebe82000324663351d9a979f1f2d4eed1311f00b","1431542915","2018","le1","female","simmons","sorority","yes","19","yes"
"168","f8b21ba77e925b866224f9595c9da1f6e1a2fae95065bccf09c9f1f9ac236ad3","1431542926","2017","2","female","bc","no","yes","19","yes"
"169","916e0d995e47bc434c5012ce382a52d10f65c23dc33ea157590cb886b711c993","1431542934","2016","3","female","fraternity","no","yes","20","yes"
"170","237cc5bde284a56541039afd46449f0dbbb35f6d75ee63eecbf04f22dda4f835","1431542960","2014","ge5","male","fraternity","frat","yes","22","yes"
"171","e078a1b98ad264bb7b07b7362fb5b1a13978a80b519b24dd1df4be5c80a69006","1431542964","2018","le1","female","simmons","no","yes","18","yes"
"172","073059f1576c880a0ba56e208a8fbf719d1db42609296f862d28290f5f184d42","1431542998","2016","3","female","baker","no","yes","21","yes"
"173","1e75528c22e17b23cbd462946e1217137e545fb28c7f88f86a3162a922d79271","1431543006","2017","2","female","simmons","no","yes","19","yes"
"174","b1439d4887b1cb35604a98debfaa18c26a865b9aad06ad05b079d62c1a22725b","1431543009","2015","4","male","macgregor","frat","yes","22","yes"
"175","479aea5d51a57afdb0b5133a462abf010adc5b98a1413bb09fce88bb5c7ef6b7","1431543026","2017","2","female","bc","no","yes","20","yes"
"176","637447df3a589d63fea11683c3d807316e36552a593a197ed85598fb23d936e4","1431543040","2016","3","male","next_house","no","yes","20","yes"
"177","7a7aa1d6452348d7d5da5eb8107cf89fa4fde15c9f379ab419890807c061da1c","1431543058","2015","4","female","bc","no","yes","22","yes"
"178","21520ea7fcfc62c73e200eb7349b0c749ae1b4c9ef667a90d749b4c91e8dcb38","1431543087","2016","3","female","east_campus","no","yes","21","yes"
"179","83fe65570d955683823f8a5b40ebae4fe7ae4acffc7b36873d2a0a74f76328f0","1431543133","2015","4","male","east_campus","no","yes","21","yes"
"180","6e83b0b654a3c19fa98fcc4f7efe21fde07c7a819366ed397c79bff6bad811d5","1431543156","2015","ge5","female","off_campus","no","yes","22","yes"
"181","6ea533b9044698021fed8a7183ee707c8e1ed8fe47f0cceaa747742360891ca6","1431543165","2017","2","other","new_house","no","no","20","yes"
"182","deca9c65e83d39bb5baecd149615dd68e705d4a9ec7d17e4a166d886a1dff3c4","1431543180","2017","2","male","fraternity","frat","yes","20","yes"
"183","eac1e0225b8615f0a106fc4b59928699f28ee7c07ed17b9fe0a36efca35b6907","1431543217","2014","ge5","female","other","no","yes","22","yes"
"184","2a47b163e13e6b28f090787772eb3fe4bd45f3338d265b777efdc940f17b4eac","1431543257","2016","3","female","macgregor","sorority","yes","20","yes"
"185","a26c9e2a9d32d60ddff462a1e2875db2340fc8b94a6ea096ae2de8d03c3001a5","1431543302","2015","4","female","mccormick","no","yes","22","yes"
"186","ef92dc40542e00d2b0339a97e9736a26d3978d4f06dd3059d6fddf2b5c10eb1e","1431543294","2016","3","female","mccormick","no","yes","20","yes"
"187","2e2542afd767a445b865b1d142ea56e34eca790c47ba7d608daf25eda4c504c6","1431543327","2016","3","female","next_house","no","yes","21","yes"
"188","acf394fa2932e69986e7ca50f068213e143ae048d0bbe5b9ce83665fdc5be670","1431543350","2016","3","female","bc","no","yes","21","yes"
