"resp","response_token","timestamp","p1q1","p1q2","p1q3","p1q4a","p1q4b","p1q5a","p1q5b","p1q6","p1q6a","p1q7","p1q7a","p1q7b","p1q8","p1q9","p1q10","p1q11","p1q12","p1q13","p1q14","p1q15","p1q16","p1q17a","p1q17b","p1q17c","p1q18a","p1q18b","p1q18c","p1q19","p1q20","p1q21","p1q22","p1q23","p1q24","p1q25","p1q26","p1q26a","p1q27","p1q27a","p1q27b","p1q28","p1q29","p1q30","p1q31","p1q32","p1q33","p1q34a","p1q34b","p1q34c","p1q35a","p1q35b","p1q35c","p1q36","p1q37","p1q37a","p1q38","p1q38a","p1q39","p1q40"
"11","97541c1d2b2430165bbe0103907903fcb9eb7b48cb20d66b9b1330b9cd1f850f","1431539540","0","yes_def","yes","neutral","neutral","neg","neg","yes","12_13","yes","cigarette,hookah,ecig,with_marijauna,cigar,pipe","ge_1_per_day","yes_def","3_4","3_4","5_7","5_7","much_less","adequate","yes","yes","neutral","neutral","neutral","neutral","neutral","neutral","no","no","neither","conf","never","3_5","twice","yes","15_16","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","neutral","neutral","neutral","neutral","neg","neg","3_5","yes","NANS","yes","1_per_month","no","no"
"12","dffb312a16e505cc7e04de78d763883c649979de109f117a7a9b8a39992a2856","1431539643","2+","yes_def","no","neg","sli_neg","very_neg","neg","yes","12_13","yes","cigarette,hookah,cigar","1_5_total","yes_def","5_7","5_7","3_4","3_4","about_same","adequate","yes","yes","neutral","neg","neutral","neutral","neg","neutral","no","no","conf","conf","never","never","never","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","strong_sup","strong_sup","yes","neutral","neutral","neutral","neutral","neutral","sli_neg","ge9","yes","NANS","yes","1_per_week","y_mit_friends","no"
"13","7405beabe4dbeb1c3af4e9d92ab17b87b175937c0efa6109eb6cf02b0c18a375","1431539724","0","think_so","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","5_7","3_4","less","adequate","yes","yes","neutral","sli_neg","neutral","neutral","sli_neg","neutral","unsure","no","conf","unconf","never","never","never","no","NANS","yes","no","1_per_2_weeks","no","yes_def","unsure","strong_opp","strong_opp","no","neg","neg","very_neg","neutral","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"14","05f768d1a5f5bd1b7c0b33f4686d9798aa00726a9931459578bb2f14d5cfb520","1431539751","0","yes_def","no","sli_neg","neutral","neg","sli_neg","yes","16_17","yes","hookah,with_marijauna","not_past_12","yes_def","2","2","3_4","8_10","less","adequate","yes","yes","neutral","neutral","neutral","sli_neg","neutral","neutral","no","no","v_conf","conf","twice","ge9","ge9","yes","15_16","yes","yes","1_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","neutral","neutral","neutral","neutral","neutral","neutral","ge9","yes","NANS","yes","1_per_month","no","no"
"15","368675bdd56b5c19f4c020589ad227fef4aebca3d83832db6e91f40678c13623","1431539776","0","no","no","very_neg","neg","sli_neg","neutral","no","NANS","no","NANS","NANS","think_so","5_7","3_4","5_7","3_4","less","comprehensive","yes","unsure","neutral","very_neg","pos","slightly_pos","neg","neutral","yes_def","no","conf","conf","never","twice","twice","yes","17_18","yes","yes","1_per_month","no","think_so","unsure","sup","sup","unsure","pos","pos","neutral","slightly_pos","slightly_pos","neutral","twice","no","NANS","no","NANS","no","no"
"16","05ee01cf8eaf4b21b3ac308648996ef383376efd90855f896de2964347728eff","1431539770","0","no","no","very_neg","neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","3_4","5_7","about_same","inadequate","yes","unsure","sli_neg","neutral","slightly_pos","neg","neg","neutral","no","no","unconf","unconf","twice","never","never","yes","le10","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","sup","no","sli_neg","neg","very_neg","slightly_pos","neutral","neutral","twice","no","NANS","no","NANS","no","no"
"17","21c882976918e2d85dbc0fe94fad2989b4a83ca302857dbe3140bc97090c7e3a","1431539796","0","yes_def","yes","very_neg","very_neg","very_neg","very_neg","NANS","NANS","no","NANS","NANS","no","2","2","5_7","5_7","about_same","adequate","unsure","unsure","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","unsure","unsure","neither","neither","twice","3_5","3_5","no","NANS","no","NANS","NANS","no","no","no","neither","neither","unsure","very_neg","very_neg","very_neg","very_neg","neg","neg","3_5","no","NANS","no","NANS","y_mit_friends","no"
"18","8668323501d81e4cf673c3699b5ee87730d20cde9ef999586ae99a09b90eb47a","1431539798","0","think_so","no","very_neg","sli_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","not_sure","unsure","no","no","neutral","neutral","neutral","slightly_pos","sli_neg","neutral","no","no","unconf","unconf","once","3_5","3_5","yes","13_14","no","NANS","NANS","no","yes_def","unsure","sup","sup","no","neutral","neutral","neg","pos","neutral","sli_neg","once","no","NANS","no","NANS","no","no"
"19","df6505fbb91d6281b981c1c7f850bc8238c51d5433ecf1e3621d41afff9119cc","1431539825","0","think_so","no","very_neg","neg","neutral","neutral","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","5_7","more","adequate","yes","yes","neutral","sli_neg","pos","neutral","neutral","neutral","no","no","conf","conf","once","never","never","yes","15_16","yes","yes","1_per_2_weeks","no","yes_def","yes_def","strong_sup","strong_sup","no","neutral","neutral","neg","pos","pos","pos","never","no","NANS","no","NANS","no","no"
"20","3d325b6992516aca5d727245549cd9fd62031c944e0b4a3bbceedc8e489c45c9","1431539861","0","yes_def","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","yes_def","2","2","5_7","0","about_same","severly_inadequate","yes","yes","very_neg","very_neg","neutral","neutral","slightly_pos","pos","no","no","neither","unconf","never","ge9","ge9","yes","15_16","yes","yes","1_5_total","no","yes_def","yes_def","neither","strong_opp","no","neg","very_neg","very_neg","neutral","neutral","neg","ge9","no","NANS","no","NANS","no","no"
"21","c940986160d393c037167602a3670e31a362c23d81c4f24a6897b729d5d4d471","1431539946","0","yes_def","no","sli_neg","neutral","neg","neg","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar,chewing","1_5_total","yes_def","3_4","3_4","3_4","5_7","less","adequate","yes","yes","neutral","neutral","neutral","slightly_pos","neutral","slightly_pos","no","no","conf","neither","once","ge9","ge9","yes","17_18","yes","yes","1_per_2_weeks","yes","yes_def","yes_def","strong_sup","strong_sup","no","slightly_pos","neutral","sli_neg","neutral","neutral","neg","twice","no","NANS","yes","ge_1_per_day","no","no"
"22","07766ff6f94cc55a1fd972e7c670a3aa043155cc53b1d3eb1adfb5ea42a1703f","1431539965","1","no","no","very_neg","sli_neg","neg","neutral","no","NANS","no","NANS","NANS","yes_def","0","0","3_4","1_2","less","unsure","unsure","unsure","neutral","neg","pos","slightly_pos","neg","pos","no","no","v_conf","conf","once","once","once","no","NANS","yes","yes","5_10_total","no","yes_def","yes_def","strong_sup","sup","no","ver_pos","pos","sli_neg","pos","neutral","sli_neg","3_5","no","NANS","no","NANS","no","no"
"23","dd79a956114eaaa8e35f4041636b7c0297b5dff76dea3d6f8994df2fb5401648","1431539978","0","no","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","8_10","5_7","about_same","adequate","yes","yes","pos","neg","neutral","pos","neutral","neutral","no","no","conf","unconf","never","ge9","ge9","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","sup","sup","unsure","neutral","neutral","sli_neg","neutral","neutral","neutral","ge9","no","NANS","yes","1_5_total","no","no"
"24","608f15e6cf876bf93d7ee94f222b7d449e9c54d5835de6e81c3db91e3ce1c9c2","1431539980","0","no","no","very_neg","very_neg","neg","neg","yes","16_17","yes","hookah,ecig","1_5_total","think_so","1","1","3_4","1_2","less","adequate","yes","yes","sli_neg","neg","neutral","sli_neg","sli_neg","neutral","no","no","neither","neither","never","3_5","3_5","yes","13_14","yes","yes","5_10_total","no","think_so","think_so","sup","neither","unsure","neutral","sli_neg","neg","neutral","neutral","sli_neg","twice","no","NANS","yes","1_5_total","no","no"
"25","c759597b339831f55a954a081fe3bcc9a8f4e450e1380db3cebbf0a29d7e9045","1431540050","0","yes_def","no","very_neg","neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","5_7","3_4","more","inadequate","unsure","unsure","sli_neg","very_neg","ver_pos","sli_neg","very_neg","neutral","no","no","conf","conf","never","ge9","ge9","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","yes_def","neither","neither","no","neutral","sli_neg","neg","neutral","neutral","neutral","ge9","no","NANS","no","NANS","no","no"
"26","cf75e42e5093403a40590e25ecb01df1bf7f71ebf3b23b3cfb9bc62dd08598e0","1431540078","0","yes_def","no","very_neg","very_neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","less","adequate","no","no","neg","neg","neutral","sli_neg","neutral","slightly_pos","no","no","unconf","unconf","never","ge9","ge9","no","NANS","no","NANS","NANS","no","yes_def","yes_def","neither","neither","no","sli_neg","neg","very_neg","neutral","sli_neg","sli_neg","NANS","no","NANS","no","NANS","no","no"
"27","2a9c302278df92820253041ef6ab42e2547ce2bfa10e06ea42ac237a765843f5","1431540070","0","yes_def","yes","neg","neg","neg","neg","yes","ge18","yes","hookah,cigar","1_5_total","yes_def","0","0","5_7","11_13","about_same","unsure","yes","unsure","pos","pos","neutral","neg","neg","neutral","no","no","conf","conf","never","never","never","no","NANS","yes","yes","ge_1_per_day","no","yes_def","yes_def","sup","sup","no","slightly_pos","sli_neg","neg","slightly_pos","slightly_pos","slightly_pos","3_5","no","NANS","no","NANS","no","no"
"28","44ccc2bf3395e975f201f384312c014038f119903b88c444da53cfc6195a92f0","1431540167","0","think_so","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","5_7","about_same","inadequate","yes","yes","slightly_pos","very_neg","slightly_pos","neutral","very_neg","slightly_pos","no","no","conf","v_conf","once","once","3_5","yes","19_20","yes","yes","1_per_2_weeks","no","yes_def","yes_def","sup","strong_sup","yes","pos","neutral","neg","neutral","neutral","neutral","3_5","no","NANS","yes","1_5_total","no","no"
"29","5e32a50b077fecaa50af0ca0cbd53fb360c056200325225c7be0c29e97f222d4","1431540178","1","no","no","very_neg","sli_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","3_4","3_4","1_2","less","adequate","yes","yes","very_neg","very_neg","slightly_pos","sli_neg","neg","neutral","no","no","unconf","v_unconf","twice","twice","twice","yes","11_12","yes","yes","1_5_total","no","yes_def","unsure","sup","neither","no","neutral","sli_neg","neg","neutral","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"30","95735fb3d718afd10e8be1423849a444df3a38ab2c3c7d43b5c42840c0c7423c","1431540180","0","no","no","neg","slightly_pos","sli_neg","neutral","no","NANS","no","NANS","NANS","yes_def","2","2","5_7","3_4","about_same","adequate","yes","no","neutral","sli_neg","pos","slightly_pos","neutral","pos","no","no","conf","conf","once","ge9","ge9","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","yes_def","strong_sup","neither","no","neutral","neutral","sli_neg","slightly_pos","slightly_pos","neutral","ge9","no","NANS","no","NANS","no","no"
"31","a1145c0ce84c0b4c65aa2bc58e1b6752fd17e7e869396e41d01d6218f056da59","1431540195","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","1_2","about_same","adequate","yes","yes","sli_neg","sli_neg","neutral","sli_neg","sli_neg","neutral","no","no","conf","conf","once","3_5","3_5","yes","17_18","yes","yes","5_10_total","no","yes_def","yes_def","strong_sup","strong_sup","no","neutral","neutral","neutral","neutral","neutral","neutral","once","no","NANS","no","NANS","no","no"
"32","ffa5b448763735618dd77cdafd5e4891d6748d040082f6f5a54ae9f94c88b87b","1431540229","0","no","no","very_neg","very_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","3_4","1_2","less","adequate","yes","yes","neg","neg","neutral","sli_neg","neg","neutral","no","no","conf","conf","3_5","ge9","ge9","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","strong_sup","strong_sup","no","neutral","neutral","sli_neg","neutral","neutral","neutral","ge9","no","NANS","no","NANS","no","no"
"33","91ff52deafb7c36df442f5b616a985c749240917e6726bfdd244ee51679cfa73","1431540268","0","think_so","no","neg","sli_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","5_7","less","adequate","unsure","unsure","slightly_pos","neg","neutral","neutral","neg","sli_neg","no","no","neither","unconf","never","3_5","3_5","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","unsure","neither","neither","no","sli_neg","neg","very_neg","slightly_pos","slightly_pos","slightly_pos","twice","no","NANS","no","NANS","no","no"
"34","a261f21cf27bc66ebbeb36233572d9d1de0c3022f88cb398713cc63026bb7e33","1431540270","0","think_so","no","very_neg","very_neg","neg","neg","no","NANS","yes","hookah,with_marijauna,cigar","1_5_total","yes_def","3_4","3_4","5_7","5_7","about_same","comprehensive","yes","yes","sli_neg","slightly_pos","neutral","neg","neg","neutral","no","no","v_conf","conf","never","ge9","ge9","yes","17_18","yes","yes","1_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","neutral","neutral","sli_neg","neutral","neutral","neutral","ge9","yes","NANS","yes","1_5_total","no","no"
"35","9b4c8bd05116855f87bdd029901358374512116fde17b9ca5c3be313d01cdca8","1431540357","0","yes_def","no","very_neg","very_neg","neg","sli_neg","no","NANS","no","NANS","NANS","think_so","0","0","3_4","1_2","much_less","unsure","yes","yes","very_neg","very_neg","pos","very_neg","very_neg","slightly_pos","no","no","conf","neither","never","3_5","twice","yes","15_16","yes","yes","1_5_total","no","no","no","strong_sup","neither","no","neutral","sli_neg","neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"36","c1c22be89e5e2db698c06bd6fe8e673593eb100e1cac949ee21d86faa2dd7fbe","1431540372","0","yes_def","no","very_neg","neg","sli_neg","neutral","no","NANS","yes","hookah","1_5_total","yes_def","5_7","5_7","5_7","3_4","about_same","adequate","yes","yes","neutral","very_neg","slightly_pos","neutral","neg","pos","no","no","conf","conf","never","ge9","ge9","yes","15_16","yes","yes","1_per_week","no","yes_def","yes_def","sup","neither","yes","neutral","neutral","neg","slightly_pos","slightly_pos","neutral","3_5","no","NANS","yes","1_5_total","no","no"
"37","77759f5dc3e0e2b98b8373bbb4e6fa7296c022c923b3a9d4afe3a276be26ab2c","1431540452","0","yes_def","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","1_2","0","less","adequate","no","no","very_neg","very_neg","neutral","neg","neg","pos","no","NANS","unconf","unconf","never","ge9","ge9","no","NANS","no","NANS","NANS","no","yes_def","no","opp","opp","no","neg","neg","very_neg","slightly_pos","neutral","neg","once","no","NANS","no","NANS","no","no"
"38","a153efde2c15cad664b0e770c8f3f5088131718a5eeb419f0b4abbb6219d5be9","1431540512","1","unsure","no","very_neg","very_neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","1_2","more","adequate","yes","yes","sli_neg","neutral","pos","neutral","slightly_pos","pos","no","no","neither","unconf","once","3_5","3_5","yes","13_14","yes","yes","1_5_total","no","yes_def","unsure","strong_sup","sup","no","slightly_pos","slightly_pos","neg","ver_pos","pos","pos","never","no","NANS","no","NANS","no","no"
"39","900d1e20148ddf54ee4334116f304e9fea9e1f5f157cb11dd380f927c9432636","1431540594","0","no","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","0","0","5_7","1_2","about_same","adequate","yes","yes","sli_neg","neutral","neutral","sli_neg","neutral","neutral","no","no","unconf","conf","never","never","never","no","NANS","yes","yes","5_10_total","no","yes_def","no","sup","sup","yes","neutral","neutral","sli_neg","neutral","neutral","neutral","never","no","NANS","yes","1_5_total","no","no"
"40","9475bc99ab053c530951036de71521495cf9559afa4c89fe4e4e63c408cc369b","1431540643","0","no","no","neg","neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","0","3_4","0","less","unsure","no","no","neg","neg","neutral","sli_neg","sli_neg","pos","no","no","neither","v_unconf","never","3_5","3_5","no","NANS","no","NANS","NANS","no","yes_def","no","neither","neither","no","sli_neg","neg","very_neg","slightly_pos","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"41","8c8c69b3870c853f7b380fc7bcad0812dd0328f7567f99e3bec81a67f6c856d8","1431540688","0","yes_def","no","neutral","neutral","neg","sli_neg","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar","ge_1_per_day","yes_def","3_4","3_4","3_4","3_4","less","comprehensive","yes","yes","neutral","neutral","neutral","sli_neg","sli_neg","neutral","no","no","conf","conf","never","ge9","ge9","yes","15_16","yes","yes","1_per_week","no","yes_def","think_so","strong_sup","neither","yes","neutral","neutral","neutral","neutral","neutral","neutral","never","no","NANS","yes","5_10_total","no","no"
"42","e3a1f59ed15c55a852c5f3c43fc6836082437aab1916ab94318b14851357ca54","1431540708","0","think_so","no","very_neg","very_neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","0","0","1_2","0","about_same","adequate","yes","yes","very_neg","very_neg","pos","neg","very_neg","neutral","no","no","v_conf","conf","never","twice","twice","no","NANS","yes","yes","1_5_total","no","yes_def","yes_def","strong_sup","sup","no","pos","neutral","sli_neg","neutral","neutral","neg","never","no","NANS","no","NANS","no","no"
"43","9b2768cdaf57491a9bea06a9bdc70a349ec412d57beef04a464945fe5256a22c","1431540738","0","yes_def","no","sli_neg","sli_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","1_2","about_same","adequate","yes","yes","neg","sli_neg","neutral","sli_neg","sli_neg","sli_neg","no","no","conf","conf","once","ge9","ge9","yes","15_16","yes","yes","1_per_month","no","yes_def","yes_def","neither","neither","no","neutral","neutral","sli_neg","neutral","neutral","neutral","twice","no","NANS","no","NANS","no","no"
"44","8fefa839024a343ee8611263895c6dd7f23b3932f621ccb894d22b53d4e3dad0","1431540760","0","no","no","very_neg","very_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","0","5_7","0","about_same","inadequate","no","unsure","neg","neg","neutral","neutral","neutral","pos","no","no","neither","unconf","never","never","never","no","NANS","no","NANS","NANS","no","no","no","strong_sup","strong_sup","no","neutral","neutral","neutral","pos","pos","pos","never","no","NANS","no","NANS","no","no"
"45","804404bb7c10a4e903df0b2ee6ed3fb6771343da52651ddd673a14a84526bc6f","1431540766","0","think_so","no","very_neg","neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","1_2","1_2","much_less","adequate","yes","yes","neutral","very_neg","neutral","neutral","neg","neutral","no","no","v_conf","conf","twice","6_8","6_8","yes","15_16","yes","yes","5_10_total","no","think_so","no","strong_sup","sup","no","neutral","neg","neg","slightly_pos","neutral","neutral","never","no","NANS","no","NANS","no","no"
"46","13926aa0412ccce40b23a7cd587bd7dfa40f4c0fcb4ccee170a4f38f4fa41b07","1431540775","0","yes_def","no","very_neg","neutral","sli_neg","neutral","no","NANS","no","NANS","NANS","yes_def","0","0","3_4","3_4","about_same","adequate","yes","yes","sli_neg","neg","ver_pos","neg","neg","pos","no","no","conf","neither","once","3_5","3_5","yes","15_16","yes","yes","1_per_month","NANS","yes_def","yes_def","strong_sup","sup","unsure","neutral","neutral","neutral","neutral","neutral","neutral","NANS","yes","NANS","no","NANS","no","no"
"47","7fbfa27d16d424cd91b56d75f453a2c997c787911f8bb103c9051855d60b31fa","1431540835","0","think_so","no","neg","sli_neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","less","adequate","no","no","very_neg","neg","neutral","neg","sli_neg","neutral","no","no","conf","neither","never","3_5","twice","no","NANS","yes","no","1_5_total","no","yes_def","think_so","opp","strong_opp","no","neg","neg","very_neg","neg","neg","very_neg","never","no","NANS","no","NANS","no","no"
"48","54c18f13c7310a2f07a4e6edb89e6d980258158e093022aebd0ee88e45d2bd38","1431540895","0","yes_def","no","very_neg","neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","1_2","0","about_same","comprehensive","unsure","unsure","very_neg","very_neg","pos","neg","sli_neg","pos","no","no","neither","neither","never","ge9","ge9","no","NANS","no","NANS","NANS","no","yes_def","yes_def","neither","opp","unsure","pos","pos","neg","pos","pos","sli_neg","ge9","no","NANS","no","NANS","no","no"
"49","4ae2cc2112d7e066d5e6aad2109bbf2b7c7b8806f4c34894a5b77185b6bc8818","1431540956","0","no","unsure","neg","neg","very_neg","sli_neg","yes","16_17","yes","cigarette,hookah,with_marijauna","1_5_total","think_so","ge14","ge14","5_7","5_7","less","adequate","yes","yes","sli_neg","very_neg","pos","neg","neg","slightly_pos","no","no","v_conf","conf","once","3_5","3_5","yes","15_16","yes","yes","1_per_month","no","yes_def","think_so","opp","opp","unsure","neutral","neg","very_neg","neg","very_neg","very_neg","twice","no","NANS","yes","1_5_total","no","no"
"50","1b55b177de549234159dc51bd264b664bee5685b915497ef59b0705d1bbbc002","1431540985","0","yes_def","yes","neg","sli_neg","very_neg","neg","yes","14_15","yes","cigarette,hookah,ecig,with_marijauna","1_per_month","yes_def","8_10","8_10","5_7","11_13","much_less","adequate","yes","yes","pos","neutral","neg","neutral","neg","pos","no","no","v_conf","v_conf","twice","ge9","ge9","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","pos","pos","neutral","neutral","neutral","neg","ge9","yes","NANS","yes","1_per_month","no","no"
